fault,seed,cpu_ops,gpu_kernels,transfers,sync_edges,cpu_total_ms,gpu_total_ms,transfer_total_ms,trace_span_ms,cpu_op_p95_us,gpu_kernel_p95_us,transfer_bytes,transfer_bw_gbps,gpu_cpu_join_rate,occupancy_mean_pct,occupancy_min_pct,gpu_streams,cpu_threads,coverage_timeline,coverage_counters,coverage_stalls,coverage_tensors
batching_delay,11,339,72,8,0,102.1529,2.1559,0.0031,116.847,80.94,188.38,4096,1.3196,1,77.36,10,1,1,true,false,false,false
batching_delay,17,333,73,7,0,10.1543,2.0475,0.0027,75.9931,72.07,187.86,3584,1.3176,1,78.84,10,1,1,true,false,false,false
batching_delay,23,334,76,4,0,11.3713,1.4538,0.0015,46.3387,82.59,68.49,2048,1.3333,1,75.79,10,1,1,true,false,false,false
bw_pressure,11,226,40,20,0,122.1066,3.2157,0.0198,49.6247,143.17,86.08,80,0.004,1,100,100,1,1,true,false,false,false
bw_pressure,17,222,40,20,0,10.6801,3.2158,0.017,6.2018,30.82,87.5,80,0.0047,1,100,100,1,1,true,false,false,false
bw_pressure,23,222,40,20,0,9.9788,3.2328,0.0203,5.8866,30.49,87.7,80,0.0039,1,100,100,1,1,true,false,false,false
competing_workload,11,413,80,0,0,11.4401,3.47,0,6.7374,54.52,77.18,0,0,1,55,10,2,1,true,false,false,false
competing_workload,17,413,80,0,0,13.5356,2.8524,0,8.199,73.72,63.71,0,0,1,55,10,2,1,true,false,false,false
competing_workload,23,413,80,0,0,13.9846,2.9749,0,7.9461,57.06,63.81,0,0,1,55,10,2,1,true,false,false,false
cpu_starvation,11,203,40,0,0,11.152,1.7287,0,59.358,60.03,79.68,0,0,1,55,10,1,1,true,false,false,false
cpu_starvation,17,202,40,0,0,10.8534,1.6386,0,60.626,75.58,73.67,0,0,1,55,10,1,1,true,false,false,false
cpu_starvation,23,202,40,0,0,10.8237,1.6405,0,46.325,64,73.64,0,0,1,55,10,1,1,true,false,false,false
healthy,11,488,60,0,0,528.011,0.6603,0,400.6182,106.4,19.3,0,0,1,56.67,10,1,1,true,false,false,false
healthy,17,322,60,0,0,7.9199,0.7056,0,4.256,33.61,20.7,0,0,1,56.67,10,1,1,true,false,false,false
healthy,23,322,60,0,0,7.6197,0.6593,0,4.1881,26.74,19.3,0,0,1,56.67,10,1,1,true,false,false,false
kernel_regression,11,562,120,0,0,13.2033,1.2314,0,6.8736,30.62,13.12,0,0,1,33.33,10,1,1,true,false,false,false
kernel_regression,17,562,120,0,0,13.1258,1.1246,0,6.8133,29.62,12.03,0,0,1,33.33,10,1,1,true,false,false,false
kernel_regression,23,562,120,0,0,13.4871,1.1043,0,6.9234,33.44,11.78,0,0,1,33.33,10,1,1,true,false,false,false
launch_overhead,11,763,180,0,0,15.2524,1.0753,0,7.7587,26.71,6.4,0,0,1,1.22,1,1,1,true,false,false,false
launch_overhead,17,762,180,0,0,15.5703,1.0518,0,7.9695,26.15,6.27,0,0,1,1.22,1,1,1,true,false,false,false
launch_overhead,23,762,180,0,0,15.5734,1.0016,0,7.8958,28.36,5.95,0,0,1,1.22,1,1,1,true,false,false,false
preprocessing_interference,11,422,20,20,0,137.5289,1.1095,1.737,66.0857,1787.56,55.81,20971520,12.0737,1,10,10,1,1,true,false,false,false
preprocessing_interference,17,422,20,20,0,152.908,1.1085,1.7382,69.2332,1898.9,55.69,20971520,12.0651,1,10,10,1,1,true,false,false,false
preprocessing_interference,23,422,20,20,0,167.112,1.1083,1.7384,76.2507,2102.01,55.75,20971520,12.064,1,10,10,1,1,true,false,false,false
queue_contention,11,408,80,0,0,11.4055,3.7488,0,6.4222,65.08,117.24,0,0,1,55,10,2,1,true,false,false,false
queue_contention,17,408,80,0,0,11.4034,3.0196,0,6.5334,49.31,64.96,0,0,1,55,10,2,1,true,false,false,false
queue_contention,23,408,80,0,0,11.1293,3.8219,0,6.3779,53.19,81.35,0,0,1,55,10,2,1,true,false,false,false
stalls,11,443,60,0,0,13.0524,0.4264,0,7.7238,38.41,12.64,0,0,1,56.67,10,1,1,true,false,false,false
stalls,17,442,60,0,0,9.8842,0.4168,0,5.1455,28.17,12.39,0,0,1,56.67,10,1,1,true,false,false,false
stalls,23,442,60,0,0,9.9646,0.417,0,5.149,29.06,12.39,0,0,1,56.67,10,1,1,true,false,false,false
sync_serialization,11,224,40,0,0,9.8489,1.1077,0,5.5958,49.82,49.79,0,0,1,55,10,1,1,true,false,false,false
sync_serialization,17,222,40,0,0,9.2861,1.0996,0,5.3228,47.62,49.47,0,0,1,55,10,1,1,true,false,false,false
sync_serialization,23,222,40,0,0,10.0744,1.0923,0,5.7602,54.06,49.15,0,0,1,55,10,1,1,true,false,false,false
transfer_heavy,11,463,20,60,0,375.8483,6.6426,20.6772,166.1057,6071.28,333.38,167782400,8.1144,1,50,50,1,1,true,false,false,false
transfer_heavy,17,462,20,60,0,330.962,6.6509,20.7347,148.5092,5711.77,333.83,167782400,8.0919,1,50,50,1,1,true,false,false,false
transfer_heavy,23,462,20,60,0,315.0432,6.6488,20.4319,140.6519,5491.88,333.54,167782400,8.2118,1,50,50,1,1,true,false,false,false

