pass2_index,paper_id,assigned_agent,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
8,arxiv:1106.4573,9,MEDIUM,A3,Towards Adjustable Autonomy for the Real World,arxiv:1106.4573,"Adjustable autonomy refers to entities dynamically varying their own autonomy, transferring decision-making control to other entities (typically agents transferring control to human users) in key situations. Determining whether and when such transfers-of-control should occur is arguably the fundamental research problem in adjustable autonomy. Previous work has investigated various approaches to addressing this problem but has often focused on individual agent-human interactions. Unfortunately, domains requiring collaboration between teams of agents and humans reveal two key shortcomings of the",medium,A3,1,A3=medium,"A3=The paper develops or evaluates Towards Adjustable Autonomy for the Real World, offering an adjacent mechanism for robot learning or data collection.","A3=The result may transfer to A3 quality estimation or harmful-data handling, but direct relevance is uncertain.",A3=false,expansion_round_3,,2011,arxiv:1106.4573,,,,,firecrawl research related-papers,,A3,false,false,false,false,A3/paper-registry.json | A3/round3-registry.json,A3/round3-triage.jsonl
21,arxiv:1301.7381,9,MEDIUM,A2,Hierarchical Solution of Markov Decision Processes using Macro-actions,arxiv:1301.7381,"We investigate the use of temporally abstract actions, or macro-actions, in the solution of Markov decision processes. Unlike current models that combine both primitive actions and macro-actions and leave the state space unchanged, we propose a hierarchical model (using an abstract MDP) that works with macro-actions only, and that significantly reduces the size of the state space. This is achieved by treating macroactions as local policies that act in certain regions of state space, and by restricting states in the abstract MDP to those at the boundaries of regions. The abstract MDP approximates the original and can be solved more efficiently. We discuss several ways in which macro-actions can be generated to ensure good solution quality. Finally, we consider ways in which macro-actions can be reused to solve multiple, related MDPs; and we show that this can justify the computational overhead of macro-action generation.",medium,A2,1,A2=medium,"A2=Uses temporally extended actions, keyposes, or learned macro-actions to expose multi-step structure while retaining feedback or planning control.",A2=The adjacent sequence mechanism offers a transferable way to localize or compress useful intervals when robot labels are scarce.,A2=true,expansion_round_1,,2013,arxiv:1301.7381,arxiv:1301.7381,5014775481540412749,,macro-actions options skills temporal abstraction sequential robot control,search-papers,true,A2,false,false,false,false,A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/expansion-pool.json | A2/expansion-pool.jsonl | A2/raw/q08-synonyms.json,A2/expansion-triage.jsonl
34,arxiv:1407.1208,9,HIGH,A1,Weakly Supervised Action Labeling in Videos Under Ordering Constraints,arxiv:1407.1208,"We are given a set of video clips, each one annotated with an ordered list of actions, such as ""walk"" then ""sit"" then ""answer phone"" extracted from, for example, the associated text script. We seek to temporally localize the individual actions in each clip as well as to learn a discriminative classifier for each action. We formulate the problem as a weakly supervised temporal assignment with ordering constraints. Each video clip is divided into small time intervals and each time interval of each video clip is assigned one action label, while respecting the order in which the action labels appear in the given annotations. We show that the action label assignment can be determined together with learning a classifier for each action in a discriminative manner. We evaluate the proposed model on a new and challenging dataset of 937 video clips with a total of 787720 frames containing sequences of 16 different actions from 69 Hollywood movies.",high,A1,1,A1=high,"A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Weakly Supervised Action Labeling in Videos Under Ordering Constraints.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.",A1=true,expansion_round_1,,,arxiv:1407.1208,arxiv:1407.1208,6705830489568045602,,,related-similar,,A1,false,false,false,false,A1/expansion-registry.json | A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json,A1/expansion-triage.jsonl
47,arxiv:1503.03585,9,MEDIUM,A3 | A5,Deep Unsupervised Learning using Nonequilibrium Thermodynamics,arxiv:1503.03585,"A central problem in machine learning involves modeling complex data-sets using highly flexible families of probability distributions in which learning, sampling, inference, and evaluation are still analytically or computationally tractable. Here, we develop an approach that simultaneously achieves both flexibility and tractability. The essential idea, inspired by non-equilibrium statistical physics, is to systematically and slowly destroy structure in a data distribution through an iterative forward diffusion process. We then learn a reverse diffusion process that restores structure in data, yielding a highly flexible and tractable generative model of the data. This approach allows us to rapidly learn, sample from, and evaluate probabilities in deep generative models with thousands of layers or time steps, as well as to compute conditional and posterior probabilities under the learned model. We additionally release an open source reference implementation of the algorithm.",medium,A3 | A5,2,A3=medium | A5=medium,"A3=The paper develops or evaluates Deep Unsupervised Learning using Nonequilibrium Thermodynamics, providing an adjacent mechanism for robust learning, attribution, evaluation, or data selection. | A5=A central problem in machine learning involves modeling complex data-sets using highly flexible families of probability distributions in which learning, sampling, inference, and evaluation are still analytically or computationally tractable.","A3=It may transfer to robot experience curation or training intelligence, but its direct relevance requires verification. | A5=This adaptive mixture neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.",A3=false | A5=true,expansion_round_1 | expansion_round_3,,2015,arxiv:1503.03585,arxiv:1503.03585,952441300782295271,,,firecrawl research related-papers,,A3,false,false,false,false,A3/expansion-registry.json | A3/paper-registry.json | A5/expansion/raw/round3-references.json | A5/expansion/raw/round3-similar.json,A3/expansion-triage.jsonl | A5/expansion/round3-triage.jsonl
60,arxiv:1509.06825,9,HIGH,A4 | A5 | A6 | A7 | A8,Supersizing Self-supervision: Learning to Grasp from 50K Tries and 700 Robot Hours,arxiv:1509.06825,"Current learning-based robot grasping approaches exploit human-labeled datasets for training the models. However, there are two problems with such a methodology: (a) since each object can be grasped in multiple ways, manually labeling grasp locations is not a trivial task; (b) human labeling is biased by semantics. While there have been attempts to train robots using trial-and-error experiments, the amount of data used in such experiments remains substantially low and hence makes the learner prone to over-fitting. In this paper, we take the leap of increasing the available training data to 40 times more than prior work, leading to a dataset size of 50K data points collected over 700 hours of robot grasping attempts. This allows us to train a Convolutional Neural Network (CNN) for the task of predicting grasp locations without severe overfitting. In our formulation, we recast the regression problem to an 18-way binary classification over image patches. We also present a multi-stage learning approach where a CNN trained in one stage is used to collect hard negatives in subsequent stages. Our experiments clearly show the benefit of using large-scale datasets (and multi-stage training) for the task of grasping. We also compare to several baselines and show state-of-the-art performance on generalization to unseen objects for grasping.",high,A4 | A5 | A6 | A7 | A8,5,A4=medium | A5=low | A6=high | A7=high | A8=high,"A4=Connects trajectory or demonstration choice to downstream policy learning, behavior, or offline-RL utility. | A5=However, there are two problems with such a methodology: (a) since each object can be grasped in multiple ways, manually labeling grasp locations is not a trivial task; (b) human labeling is biased by semantics. | A6=Provides a policy, data, or control mechanism with a plausible path to learning from robot experience. | A7=Current learning-based robot grasping approaches exploit human-labeled datasets for training the models. | A8=A robot autonomously collects tens of thousands of grasp attempts and trains from self-supervised success labels.",A4=It is directly or plausibly transferable to selecting robot experience for policy learning. | A5=The expansion tests whether this hard example mechanism adds a reusable way to control which robot experience influences policy training. | A6=Offers a reusable mechanism for converting sequential experience into better policy or data decisions. | A7=It provides a route to reuse heterogeneous experience across embodiments or data sources. | A8=It demonstrates that scalable autonomous interaction can supply broad coverage and objective usefulness signals without manual labels.,A4=false | A5=false | A6=true | A7=true | A8=true,expansion_round_1,,,arxiv:1509.06825 | paper:4687128730814101581 | paperid:4687128730814101581,arxiv:1509.06825,4687128730814101581,,,references | related-papers,,A4 | A5 | A6 | A7 | A8,false,false,false,true,A4/expansion/round2/registry.jsonl | A4/expansion/round3/registry.jsonl | A4/expansion/round4/registry.jsonl | A4/expansion/round5/registry.jsonl | A5/expansion/raw/round1-references.json | A5/expansion/raw/round2-references.json | A5/expansion/raw/round2-similar.json | A5/expansion/raw/round3-references.json | A5/expansion/raw/round3-similar.json | A6/expansion/canonical-pool.jsonl | A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl | A8/work/expansion-novel.jsonl | A8/work/expansion-pool.jsonl,A4/expansion/all-new-expansion-triage.jsonl | A5/expansion/round1-triage.jsonl | A6/expansion/triage.jsonl | A7/work/expansion-triage.jsonl | A8/work/expansion-triage.jsonl
73,arxiv:1601.01006,9,MEDIUM,A1,Space-Time Representation of People Based on 3D Skeletal Data: A Review,arxiv:1601.01006,"Spatiotemporal human representation based on 3D visual perception data is a rapidly growing research area. Based on the information sources, these representations can be broadly categorized into two groups based on RGB-D information or 3D skeleton data. Recently, skeleton-based human representations have been intensively studied and kept attracting an increasing attention, due to their robustness to variations of viewpoint, human body scale and motion speed as well as the realtime, online performance. This paper presents a comprehensive survey of existing space-time representations of people based on 3D skeletal data, and provides an informative categorization and analysis of these methods from the perspectives, including information modality, representation encoding, structure and transition, and feature engineering. We also provide a brief overview of skeleton acquisition devices and construction methods, enlist a number of public benchmark datasets with skeleton data, and discuss potential future research directions.",medium,A1,1,A1=medium,"A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Space-Time Representation of People Based on 3D Skeletal Data: A Review.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.",A1=true,expansion_round_1,,,arxiv:1601.01006,arxiv:1601.01006,3744617337899865536,,,related-similar,,A1,false,false,false,false,A1/expansion-registry.json | A1/paper-registry-complete.json,A1/expansion-triage.jsonl
86,arxiv:1603.06277,9,MEDIUM,A2,Composing graphical models with neural networks for structured representations and fast inference,arxiv:1603.06277,"We propose a general modeling and inference framework that composes probabilistic graphical models with deep learning methods and combines their respective strengths. Our model family augments graphical structure in latent variables with neural network observation models. For inference, we extend variational autoencoders to use graphical model approximating distributions with recognition networks that output conjugate potentials. All components of these models are learned simultaneously with a single objective, giving a scalable algorithm that leverages stochastic variational inference, natural gradients, graphical model message passing, and the reparameterization trick. We illustrate this framework with several example models and an application to mouse behavioral phenotyping.",medium,A2,1,A2=medium,"A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused.",A2=The adjacent sequence mechanism offers a transferable way to localize or compress useful intervals when robot labels are scarce.,A2=true,expansion_round_1,,2016,arxiv:1603.06277,,,,,,,A2,false,false,false,false,A2/expansion-pool.json | A2/expansion-pool.jsonl,A2/expansion-triage.jsonl
99,arxiv:1606.01601,9,MEDIUM,A1,shapeDTW: shape Dynamic Time Warping,arxiv:1606.01601,"Dynamic Time Warping (DTW) is an algorithm to align temporal sequences with possible local non-linear distortions, and has been widely applied to audio, video and graphics data alignments. DTW is essentially a point-to-point matching method under some boundary and temporal consistency constraints. Although DTW obtains a global optimal solution, it does not necessarily achieve locally sensible matchings. Concretely, two temporal points with entirely dissimilar local structures may be matched by DTW. To address this problem, we propose an improved alignment algorithm, named shape Dynamic Time Warping (shapeDTW), which enhances DTW by taking point-wise local structural information into consideration. shapeDTW is inherently a DTW algorithm, but additionally attempts to pair locally similar structures and to avoid matching points with distinct neighborhood structures. We apply shapeDTW to align audio signal pairs having ground-truth alignments, as well as artificially simulated pairs of aligned sequences, and obtain quantitatively much lower alignment errors than DTW and its two variants. When shapeDTW is used as a distance measure in a nearest neighbor classifier (NN-shapeDTW) to classify time series, it beats DTW on 64 out of 84 UCR time series datasets, with significantly improved classification accuracies. By using a properly designed local structure descriptor, shapeDTW improves accuracies by more than 10% on 18 datasets. To the best of our knowledge, shapeDTW is the first distance measure under the nearest neighbor classifier scheme to significantly outperform DTW, which had been widely recognized as the best distance measure to date. Our code is publicly accessible at: https://github.com/jiapingz/shapeDTW.",medium,A1,1,A1=medium,"A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for shapeDTW: shape Dynamic Time Warping.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.",A1=true,expansion_round_1,,,arxiv:1606.01601,arxiv:1606.01601,5883089933146340150,,,related-similar,,A1,false,false,false,false,A1/expansion-registry.json | A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json,A1/expansion-triage.jsonl
112,arxiv:1610.00673,9,MEDIUM,A5,Collective Robot Reinforcement Learning with Distributed Asynchronous Guided Policy Search,arxiv:1610.00673,"In principle, reinforcement learning and policy search methods can enable robots to learn highly complex and general skills that may allow them to function amid the complexity and diversity of the real world. However, training a policy that generalizes well across a wide range of real-world conditions requires far greater quantity and diversity of experience than is practical to collect with a single robot. Fortunately, it is possible for multiple robots to share their experience with one another, and thereby, learn a policy collectively. In this work, we explore distributed and asynchronous policy learning as a means to achieve generalization and improved training times on challenging, real-world manipulation tasks. We propose a distributed and asynchronous version of Guided Policy Search and use it to demonstrate collective policy learning on a vision-based door opening task using four robots. We show that it achieves better generalization, utilization, and training times than the single robot alternative.",medium,A5,1,A5=medium,"A5=In this work, we explore distributed and asynchronous policy learning as a means to achieve generalization and improved training times on challenging, real-world manipulation tasks.",A5=This adaptive mixture neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.,A5=true,expansion_round_2,,,arxiv:1610.00673,arxiv:1610.00673,3954573237446245949,,,,,A5,false,false,false,false,A5/expansion/raw/round2-references.json,A5/expansion/round2-triage.jsonl
125,arxiv:1612.00593,9,MEDIUM,A4,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,arxiv:1612.00593,"Point cloud is an important type of geometric data structure. Due to its irregular format, most researchers transform such data to regular 3D voxel grids or collections of images. This, however, renders data unnecessarily voluminous and causes issues. In this paper, we design a novel type of neural network that directly consumes point clouds and well respects the permutation invariance of points in the input. Our network, named PointNet, provides a unified architecture for applications ranging from object classification, part segmentation, to scene semantic parsing. Though simple, PointNet is highly efficient and effective. Empirically, it shows strong performance on par or even better than state of the art. Theoretically, we provide analysis towards understanding of what the network has learnt and why the network is robust with respect to input perturbation and corruption.",medium,A4,1,A4=medium,A4=Provides adjacent evidence about how data composition affects learning outcomes.,A4=It extends the A4 mechanism space with adjacent data-centric evidence.,A4=false,expansion_round_1,,,arxiv:1612.00593 | paper:8197007651374786920,,,,,,,A4,false,false,false,false,A4/expansion/round4/registry.jsonl,A4/expansion/all-new-expansion-triage.jsonl
