pass2_index,paper_id,assigned_agent,first_pass_classification,source_lane
0,arxiv:0710.3742,1,HIGH,A2
1,arxiv:0811.4413,2,MEDIUM,A2
2,arxiv:0905.2592,3,HIGH,A2
3,arxiv:1003.0146,4,MEDIUM,A5
4,arxiv:1011.0686,5,HIGH,A1 | A2 | A3 | A4 | A5 | A6 | A8
5,arxiv:1103.5708,6,HIGH,A8
6,arxiv:1106.0681,7,MEDIUM,A8
7,arxiv:1106.1822,8,HIGH,A2
8,arxiv:1106.4573,9,MEDIUM,A3
9,arxiv:1112.1217,10,HIGH,A8
10,arxiv:1201.6583,11,MEDIUM,A8
11,arxiv:1202.5933,12,MEDIUM,A4
12,arxiv:1205.0314,13,MEDIUM,A4
13,arxiv:1205.4839,1,MEDIUM,A5
14,arxiv:1206.6389,2,MEDIUM,A4
15,arxiv:1206.6473,3,MEDIUM,A2
16,arxiv:1207.4708,4,MEDIUM,A2 | A5 | A8
17,arxiv:1207.6083,5,MEDIUM,A4 | A5
18,arxiv:1211.1323,6,MEDIUM,A4
19,arxiv:1301.2603,7,MEDIUM,A4
20,arxiv:1301.4862,8,HIGH,A2
21,arxiv:1301.7381,9,MEDIUM,A2
22,arxiv:1306.0940,10,HIGH,A8
23,arxiv:1306.4265,11,MEDIUM,A4
24,arxiv:1310.1531,12,MEDIUM,A4
25,arxiv:1310.1863,13,MEDIUM,A8
26,arxiv:1312.2249,1,MEDIUM,A5
27,arxiv:1312.6034,2,MEDIUM,A4
28,arxiv:1312.6229,3,MEDIUM,A5
29,arxiv:1401.3439,4,MEDIUM,A6
30,arxiv:1402.0567,5,MEDIUM,A4
31,arxiv:1406.2462,6,MEDIUM,A3
32,arxiv:1406.2541,7,HIGH,A8
33,arxiv:1406.4729,8,MEDIUM,A5
34,arxiv:1407.1208,9,HIGH,A1
35,arxiv:1408.2156,10,MEDIUM,A2
36,arxiv:1408.3060,11,MEDIUM,A4
37,arxiv:1409.0575,12,MEDIUM,A4 | A5
38,arxiv:1409.3136,13,MEDIUM,A1
39,arxiv:1411.4357,1,MEDIUM,A4
40,arxiv:1411.7766,2,MEDIUM,A4
41,arxiv:1412.1193,3,MEDIUM,A3 | A4
42,arxiv:1412.6980,4,MEDIUM,A1 | A2 | A4 | A5 | A8
43,arxiv:1502.05477,5,MEDIUM,A2 | A5 | A8
44,arxiv:1503.01161,6,MEDIUM,A4
45,arxiv:1503.02406,7,MEDIUM,A5
46,arxiv:1503.03167,8,MEDIUM,A2
47,arxiv:1503.03585,9,MEDIUM,A3 | A5
48,arxiv:1503.05671,10,MEDIUM,A4
49,arxiv:1504.00702,11,HIGH,A5 | A7
50,arxiv:1505.04597,12,MEDIUM,A1 | A4 | A5
51,arxiv:1505.06897,13,MEDIUM,A1
52,arxiv:1506.02142,1,HIGH,A1 | A4 | A8
53,arxiv:1506.04714,2,HIGH,A1
54,arxiv:1506.08941,3,HIGH,A2
55,arxiv:1507.00504,4,MEDIUM,A1
56,arxiv:1507.00814,5,HIGH,A2 | A8
57,arxiv:1507.01279,6,MEDIUM,A1
58,arxiv:1509.01626,7,MEDIUM,A4
59,arxiv:1509.02971,8,MEDIUM,A2 | A5 | A6 | A8
60,arxiv:1509.06825,9,HIGH,A4 | A5 | A6 | A7 | A8
61,arxiv:1509.08731,10,HIGH,A2 | A8
62,arxiv:1510.09142,11,MEDIUM,A5
63,arxiv:1511.02283,12,MEDIUM,A4
64,arxiv:1511.03722,13,HIGH,A4 | A5
65,arxiv:1511.05298,1,HIGH,A1
66,arxiv:1511.06362,2,HIGH,A2
67,arxiv:1511.06418,3,HIGH,A2
68,arxiv:1511.06581,4,HIGH,A2
69,arxiv:1512.03012,5,MEDIUM,A7
70,arxiv:1512.03216,6,MEDIUM,A1
71,arxiv:1512.03385,7,MEDIUM,A1 | A4 | A5 | A8
72,arxiv:1601.00617,8,MEDIUM,A4
73,arxiv:1601.01006,9,MEDIUM,A1
74,arxiv:1601.05484,10,MEDIUM,A4
75,arxiv:1602.01407,11,MEDIUM,A4
76,arxiv:1602.03351,12,HIGH,A2
77,arxiv:1602.03943,13,MEDIUM,A4
78,arxiv:1602.04621,1,HIGH,A8
79,arxiv:1602.04938,2,MEDIUM,A4
80,arxiv:1602.06822,3,HIGH,A2
81,arxiv:1602.07043,4,MEDIUM,A4
82,arxiv:1602.07332,5,MEDIUM,A4
83,arxiv:1603.00448,6,HIGH,A5 | A6
84,arxiv:1603.00964,7,HIGH,A2
85,arxiv:1603.02199,8,HIGH,A4 | A5 | A6 | A8
86,arxiv:1603.06277,9,MEDIUM,A2
87,arxiv:1603.06348,10,MEDIUM,A5
88,arxiv:1603.08561,11,HIGH,A1
89,arxiv:1604.04038,12,MEDIUM,A4 | A5
90,arxiv:1604.04574,13,MEDIUM,A1
91,arxiv:1604.06057,1,HIGH,A2
92,arxiv:1604.07255,2,HIGH,A2
93,arxiv:1604.07316,3,MEDIUM,A1 | A3
94,arxiv:1605.05538,4,HIGH,A7
95,arxiv:1605.06676,5,MEDIUM,A8
96,arxiv:1605.07700,6,MEDIUM,A2
97,arxiv:1605.09674,7,HIGH,A8
98,arxiv:1606.01540,8,MEDIUM,A4
99,arxiv:1606.01601,9,MEDIUM,A1
100,arxiv:1606.03476,10,HIGH,A3 | A5 | A6
101,arxiv:1606.03558,11,MEDIUM,A1
102,arxiv:1606.04695,12,HIGH,A2
103,arxiv:1606.07419,13,HIGH,A1 | A6 | A8
104,arxiv:1607.01883,1,HIGH,A8
105,arxiv:1607.07939,2,HIGH,A6
106,arxiv:1607.08584,3,HIGH,A1
107,arxiv:1608.00272,4,MEDIUM,A4
108,arxiv:1608.05167,5,MEDIUM,A4
109,arxiv:1609.05140,6,HIGH,A2
110,arxiv:1609.08201,7,MEDIUM,A1
111,arxiv:1610.00529,8,MEDIUM,A5
112,arxiv:1610.00673,9,MEDIUM,A5
113,arxiv:1610.00696,10,HIGH,A1 | A4 | A8
114,arxiv:1610.00850,11,HIGH,A6
115,arxiv:1610.02080,12,MEDIUM,A4
116,arxiv:1610.03557,13,HIGH,A2
117,arxiv:1610.05182,1,HIGH,A2 | A5
118,arxiv:1611.00712,2,HIGH,A2
119,arxiv:1611.01796,3,HIGH,A2
120,arxiv:1611.04201,4,MEDIUM,A8
121,arxiv:1611.04717,5,HIGH,A8
122,arxiv:1611.06067,6,HIGH,A1
123,arxiv:1611.07476,7,MEDIUM,A4
124,arxiv:1611.07507,8,HIGH,A2 | A8
125,arxiv:1612.00593,9,MEDIUM,A4
126,arxiv:1612.01474,10,HIGH,A8
127,arxiv:1612.06699,11,HIGH,A3 | A4
128,arxiv:1701.06049,12,HIGH,A6
129,arxiv:1701.06393,13,MEDIUM,A1
130,arxiv:1701.07790,1,HIGH,A6
131,arxiv:1702.01182,2,MEDIUM,A6
132,arxiv:1702.07475,3,HIGH,A1
