paper_id,assigned_agent
3960337976911820872,1
9008098354547817690,2
2727972081308243580,3
589870538881007048,4
5324754570666059575,5
2756714247412412908,6
5776514064819351511,7
301213087444764419,8
4384026249586721898,9
8056686046808412773,10
8859639635410870005,11
5297124191976859412,12
4817631662377051471,13
5188212938104490743,14
2210363815980797505,15
7923455617757539481,16
2634454976621606413,17
paper:1300154697251056879,18
3896262198105927795,19
1268288694076518898,20
5931078249156846270,21
9041867398368112497,22
3975673247172170941,23
4064311439852433517,1
8623742208834864320,2
6042546941290649022,3
65419080924251135,4
5277491328218098077,5
4084674953039647992,6
2540239451880281701,7
3994842541428777435,8
3591707561766497696,9
5192975177350079084,10
2203310448672983125,11
897697600186895773,12
6892148114340942289,13
3892892563609774567,14
3265454835860018185,15
7156445151875138130,16
4831409068598859422,17
5440342342355043580,18
7191104061774885847,19
2729250871240918155,20
940463066769611816,21
1949413363997994104,22
1365321820975761311,23
8484531100130183844,1
2850751256253869877,2
375130457246937923,3
2494685551455670912,4
3120384796082460037,5
7392137559674702918,6
5861358040603998042,7
7676024505517203831,8
143460747647267874,9
5719323997972718839,10
paper:1556531449041711566,11
8191244200735125437,12
2006202443956549374,13
4498148791615941431,14
6226073528391041129,15
8812294165335769998,16
5981797910997404482,17
3400887765913239333,18
5736509947143852074,19
4139888542254749925,20
1023859394587420018,21
4853416372676424039,22
3524889628864475116,23
paper:1098589559250016729,1
8836829174165244807,2
9148079343067145722,3
1571199541593666790,4
1811148867295364888,5
1398826677212629428,6
646370602949243623,7
8090738307177313111,8
9065691670049191156,9
3066940910566807334,10
4234460441696265302,11
212521854571461782,12
879337995060209242,13
7778312118884684457,14
6042873572968307910,15
2730371564793671387,16
4035093843930300230,17
386131465566908983,18
8859998198916315850,19
3533139114241224874,20
5651862759782299032,21
3275744682450819085,22
2016032035901082354,23
2192915678951349008,1
8641189533146054394,2
4353705513931831690,3
3083463701572167167,4
3069230523547814147,5
paper:8610680491422498836,6
7215462750758959688,7
8498770305232690071,8
5365439460464158458,9
7847981249415513002,10
9210315832116231863,11
5093827899216795159,12
3857242430318247041,13
paper:7202885681899517333,14
3744143091714345625,15
6388947981873150301,16
1136580757785294051,17
paper:7907336004896377132,18
1008895925745653888,19
2633456745520086084,20
3921037533079953532,21
5013964582468463473,22
3653909342723808550,23
paper:7226268542381480433,1
2581448674301580359,2
249789132978283162,3
5032329569097044522,4
5317740654435006935,5
3331641085938064188,6
4467357394806590491,7
4457783947061649564,8
3076055568652607584,9
5393968608217819054,10
7378211101575091872,11
4250366347354359244,12
3119597840811836316,13
8864296648275355132,14
5426131876647524341,15
7608722997349453291,16
229946436144483838,17
2941188027225778853,18
paper:8311099796552268628,19
7207769640615546235,20
