paper_id,assigned_agent
1775738424382426152,1
8811233309287670084,2
84012520457006168,3
1196529829403259878,4
6224658056509891283,5
7995524812711659187,6
4642550532072469542,7
685479122822530856,8
3893615342835268419,9
3893625238439922318,10
864102547555882763,11
3875302145413168998,12
9141734286619265785,13
4044984170481207861,14
2466771836422091007,15
2873784739631762328,16
7867109965259438376,17
5119510944154921777,18
6122559195514188229,1
5376840501926394330,2
6450054337705314348,3
6942209823027037692,4
747188021059833735,5
8319239866974784291,6
1278602768968312534,7
7375329814959718067,8
5521075590439446331,9
4318899957474714064,10
7345656475685891500,11
1144550420817477617,12
2540905722782375360,13
3135618442834686983,14
364082830596647041,15
5668455743803570500,16
5326039430351143640,17
3962630577374520410,18
819584417062834509,1
1279830267635579065,2
4128088853674582690,3
4134638698407062757,4
8327639063112303540,5
8114080743005882821,6
5601136852513131387,7
8985085835963145725,8
2336528053413376882,9
5881385361535924031,10
7344645518170373168,11
6396654899995953216,12
2354077727612739419,13
2385886447431812139,14
4490499305185965594,15
6032511935700858620,16
191101378674569589,17
2932578677191023278,18
7500806338186717836,1
836565021913833945,2
3665630663504238071,3
6865103331156335202,4
5254337256869020281,5
5949543125583100416,6
2576978482583728826,7
5691528672012736681,8
6278164366995881360,9
1316218524370598404,10
6410218394589643892,11
7005852229130754728,12
2651844072124091056,13
5676002857286223738,14
1294198870842020472,15
8506233093939657104,16
4204729805629762905,17
7242941222782471226,18
4398466109724157676,1
7509495994657497001,2
7050786686728742813,3
6394029699671692326,4
1471662442818694194,5
8409106853132551676,6
6897069278063687323,7
8689726048545285374,8
6894160889199749452,9
2323014594144352108,10
2485365029832433847,11
5459007581981380501,12
3760359834883639181,13
7825159871297994464,14
8095881711667313451,15
6861262104468630551,16
5732309991135533745,17
8861138515509868332,18
3192008333798036084,1
1361471615372654076,2
8776510962650471900,3
2452565288707500759,4
1663092601470210656,5
5323957938392065735,6
9114711811322698175,7
1425920523113516310,8
6007979592126888733,9
5261431974900839707,10
3139187794791879128,11
875155208603979263,12
9171327884192685453,13
5505786672902668767,14
7053701168959821851,15
5517197014453971896,16
1795173462223893069,17
2174319786476452782,18
2794512555887793545,1
5435498980229271350,2
4452630211623390692,3
4288321889768320313,4
9168655945531498531,5
5722800764033331123,6
2272004759669457662,7
811021839911309015,8
1668043443522056253,9
