"pass2_index","assigned_agent","paper_id","paper_title","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","source_paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"3","4","arxiv:1003.0054","Energy Optimal Transmission Scheduling in Wireless Sensor Networks","MEDIUM","B5","Energy Optimal Transmission Scheduling in Wireless Sensor Networks","arxiv:1003.0054","One of the main issues in the design of sensor networks is energy efficient communication of time-critical data. Energy wastage can be caused by failed packet transmission attempts at each node due to channel dynamics and interference. Therefore transmission control techniques that are unaware of the channel dynamics can lead to suboptimal channel use patterns. In this paper we propose a transmission controller that utilizes different ""grades"" of channel side information to schedule packet transmissions in an optimal way, while meeting a deadline constraint for all packets waiting in the transmission queue. The wireless channel is modeled as a finite-state Markov channel. We are specifically interested in the case where the transmitter has low-grade channel side information that can be obtained based solely on the ACK/NAK sequence for the previous transmissions. Our scheduler is readily implementable and it is based on the dynamic programming solution to the finite-horizon transmission control problem. We also calculate the information theoretic capacity of the finite state Markov channel with feedback containing different grades of channel side information including that, obtained through the ACK/NAK sequence. We illustrate that our scheduler achieves a given throughput at a power level that is fairly close to the fundamental limit achievable over the channel.","medium","B5","1","B5=medium","B5=The abstract links sensor, observation, action, actuator, or telemetry transport behavior to a robotic episode or control outcome.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.","B5=true","primary_assignment","Rahul Srivastava, Can Emre Koksal","","arxiv:1003.0054","arxiv:1003.0054","5195814777527052020","","q39-found-realtime","","","B5","false","false","false","false","b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q39-found-realtime.json","b5/abstract-triage.jsonl"
"8","4","arxiv:1007.0522","Diversity Embedded Streaming Erasure Codes (DE-SCo): Constructions and Optimality","HIGH","B5","Diversity Embedded Streaming Erasure Codes (DE-SCo): Constructions and Optimality","arxiv:1007.0522","","high","B5","1","B5=high","B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.","B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.","B5=true","expansion_round_1","Ahmed Badr, Ashish Khisti, Emin Martinian","","","arxiv:1007.0522","","","","","","B5","false","false","false","false","b5/evidence-digest.jsonl","b5/expansion/expansion-triage.jsonl"
"13","4","arxiv:1204.3100","Modular design of jointly optimal controllers and forwarding policies for wireless control","HIGH","B5","Modular design of jointly optimal controllers and forwarding policies for wireless control","arxiv:1204.3100","We consider the joint design of packet forwarding policies and controllers for wireless control loops where sensor measurements are sent to the controller over an unreliable and energy-constrained multi-hop wireless network. For fixed sampling rate of the sensor, the co-design problem separates into two well-defined and independent subproblems: transmission scheduling for maximizing the deadline-constrained reliability and optimal control under packet loss. We develop optimal and implementable solutions for these subproblems and show that the optimally co-designed system can be efficiently found. Numerical examples highlight the many trade-offs involved and demonstrate the power of our approach.","high","B5","1","B5=high","B5=The abstract addresses packet loss, delay, jitter, disorder, or reordering and its effect on networked sensing, estimation, or control.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.","B5=true","primary_assignment","Burak Demirel, Zhenhua Zou, Pablo Soldati, Mikael Johansson","","arxiv:1204.3100","arxiv:1204.3100","4609996249881166460","","q39-found-realtime","","","B5","false","false","false","false","b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q39-found-realtime.json","b5/abstract-triage.jsonl"
"18","4","arxiv:1303.4370","Streaming-Codes for Multicast over Burst Erasure Channels","HIGH","B5","Streaming-Codes for Multicast over Burst Erasure Channels","arxiv:1303.4370","","high","B5","1","B5=high","B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.","B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.","B5=true","expansion_round_1","Ahmed Badr, Devin Lui, Ashish Khisti","","","arxiv:1303.4370","","","","","","B5","false","false","false","false","b5/evidence-digest.jsonl","b5/expansion/expansion-triage.jsonl"
"23","4","arxiv:1405.6477","Skewless Network Clock Synchronization Without Discontinuity: Convergence and Performance","HIGH","B1","Skewless Network Clock Synchronization Without Discontinuity: Convergence and Performance","arxiv:1405.6477","This paper examines synchronization of computer clocks connected via a data network and proposes a skewless algorithm to synchronize them. Unlike existing solutions, which either estimate and compensate the frequency difference (skew) among clocks or introduce offset corrections that can generate jitter and possibly even backward jumps, our solution achieves synchronization without these problems. We first analyze the convergence property of the algorithm and provide explicit necessary and sufficient conditions on the parameters to guarantee synchronization. We then study the effect of noisy measurements (jitter) and frequency drift (wander) on the offsets and synchronization frequency, and further optimize the parameter values to minimize their variance. Our study reveals a few insights, for example, we show that our algorithm can converge even in the presence of timing loops and noise, provided that there is a well defined leader. This marks a clear contrast with current standards such as NTP and PTP, where timing loops are specifically avoided. Furthermore, timing loops can even be beneficial in our scheme as it is demonstrated that highly connected subnetworks can collectively outperform individual clients when the time source has large jitter. The results are supported by experiments running on a cluster of IBM BladeCenter servers with Linux.","high","B1","1","B1=high","B1=A skewless synchronization algorithm avoids backward jumps while analyzing noise, drift, and timing-loop convergence.","","B1=true","primary_assignment","Enrique Mallada, Xiaoqiao Meng, Michel Hack, Li Zhang, Ao Tang","2014","arxiv:1405.6477","arxiv:1405.6477","235385722979642739","","","","","B1","true","false","false","false","b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q01-direct.json | b1/raw-q02-synonyms.json | b1/raw-q12-ntp-ptp-foundations.json | b1/raw-q13-os-clocks.json","b1/assigned-paper-manifest.jsonl | b1/triage.jsonl"
"28","4","arxiv:1503.00100","Improved Stability Analysis of Nonlinear Networked Control Systems over Multiple Communication Links","HIGH","B5","Improved Stability Analysis of Nonlinear Networked Control Systems over Multiple Communication Links","arxiv:1503.00100","In this paper, we consider a nonlinear networked control system (NCS) in which controllers, sensors and actuators are connected via several communication links. In each link, networking effects such as the transmission delay, packet loss, sampling jitter and data packet miss-ordering are captured by time-varying delays. Stability analysis is carried out based on the Lyapunov Krasovskii method to obtain a condition for stability of the nonlinear NCS in the form of linear matrix inequality (LMI). The results are applied to a two degrees of freedom robot arm NCS which shows a considerable improvement with respect to the previous works.","high","B5","1","B5=high","B5=The abstract addresses packet loss, delay, jitter, disorder, or reordering and its effect on networked sensing, estimation, or control.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.","B5=true","primary_assignment","Rahim Delavar, Babak Tavassoli, Mohammad Taghi Hamidi Beheshti","","arxiv:1503.00100","arxiv:1503.00100","3977638580768900047","","q01-direct-robot | q07-direct-wireless | q26-failure-wireless | q29-adj-control | q37-found-networked","","","B5","false","false","false","false","b4/raw-retrieval/q09-jitter-real-time-systems.json | b4/raw-retrieval/q22-control-loop-delay.json | b4/raw-retrieval/q23-networked-control-systems.json | b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q01-direct-robot.json | b5/raw-retrieval/q07-direct-wireless.json | b5/raw-retrieval/q26-failure-wireless.json | b5/raw-retrieval/q29-adj-control.json | b5/raw-retrieval/q37-found-networked.json | b7/canonical-registry.json | b7/raw-retrieval/q21-failure-congestion.json","b5/abstract-triage.jsonl"
"33","4","arxiv:1508.07123","Proposal of ROS-compliant FPGA Component for Low-Power Robotic Systems","MEDIUM","B8","Proposal of ROS-compliant FPGA Component for Low-Power Robotic Systems","arxiv:1508.07123","In recent years, robots are required to be autonomous and their robotic software are sophisticated. Robots have a problem of insufficient performance, since it cannot equip with a high-performance microprocessor due to battery-power operation. On the other hand, FPGA devices can accelerate specific functions in a robot system without increasing power consumption by implementing customized circuits. But it is difficult to introduce FPGA devices into a robot due to large development cost of an FPGA circuit compared to software. Therefore, in this study, we propose an FPGA component technology for an easy integration of an FPGA into robots, which is compliant with ROS (Robot Operating System). As a case study, we designed ROS-compliant FPGA component of image labeling using Xilinx Zynq platform. The developed ROS-component FPGA component performs 1.7 times faster compared to the ordinary ROS software component.","medium","B8","1","B8=medium","B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.","B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.","B8=true","expansion_round_1","","2015","1508.07123 | 1629803851362820494 | arxiv:1508.07123","arxiv:1508.07123","1629803851362820494","","","","","B8","false","false","false","false","b1/expansion/expansion-manifest.jsonl | b8/expansion-canonical-registry.json | b8/expansion-registry.json","b8/expansion-triage.jsonl"
"38","4","arxiv:1511.02960","PCS: Predictive Component-level Scheduling for Reducing Tail Latency in Cloud Online Services","MEDIUM","B4","PCS: Predictive Component-level Scheduling for Reducing Tail Latency in Cloud Online Services","arxiv:1511.02960","Modern latency-critical online services often rely on composing results from a large number of server components. Hence the tail latency (e.g. the 99th percentile of response time), rather than the average, of these components determines the overall service performance. When hosted on a cloud environment, the components of a service typically co-locate with short batch jobs to increase machine utilizations, and share and contend resources such as caches and I/O bandwidths with them. The highly dynamic nature of batch jobs in terms of their workload types and input sizes causes continuously cha","medium","B4","1","B4=medium","B4=tail/percentile behavior; scheduling/deadline policy; stage-wise latency attribution","B4=Supplies a transferable mechanism for explaining tail behavior and deciding which per-stage measurements the Reflex evidence model must preserve.","B4=true","primary_assignment","Rui Han; Junwei Wang; Siguang Huang; Chenrong Shao; Shulin Zhan; Jianfeng Zhan; Jose Luis Vazquez-Poletti","2015","arxiv:1511.02960","arxiv:1511.02960","arxiv:1511.02960","cs.DC","q08-tail-latency-distributed.json | q18-load-shedding-backpressure.json","","","B4","false","false","false","false","b3/raw-q12-variance.json | b3/registry.json | b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q08-tail-latency-distributed.json | b4/raw-retrieval/q18-load-shedding-backpressure.json","b4/abstract-triage.jsonl"
"43","4","arxiv:1602.03273","YTrace: End-to-end Performance Diagnosis in Large Cloud and Content Providers","HIGH","B3","YTrace: End-to-end Performance Diagnosis in Large Cloud and Content Providers","arxiv:1602.03273","Content providers build serving stacks to deliver content to users. An important goal of a content provider is to ensure good user experience, since user experience has an impact on revenue. In this paper, we describe a system at Yahoo called YTrace that diagnoses bad user experience in near real time. We present the different components of YTrace for end-to-end multi-layer diagnosis (instrumentation, methods and backend system), and the system architecture for delivering diagnosis in near real time across all user sessions at Yahoo. YTrace diagnoses problems across service and network layers in the end-to-end path spanning user host, Internet, CDN and the datacenters, and has three diagnosis goals: detection, localization and root cause analysis (including cascading problems) of performance problems in user sessions with the cloud. The key component of the methods in YTrace is capturing and discovering causality, which we design based on a mix of instrumentation API, domain knowledge and blackbox methods. We show three case studies from production that span a large-scale distributed storage system, a datacenter-wide network, and an end-to-end video serving stack at Yahoo. We end by listing a number of open directions for performance diagnosis in cloud and content providers.","high","B3","1","B3=high","B3=Performs near-real-time multi-layer diagnosis across user, network, CDN, and data-center paths using causal discovery and black-box methods.","B3=Established end-to-end precedent for separating service, network, and host contributions.","B3=true","primary_assignment","","2016","arxiv:1602.03273","arxiv:1602.03273","2542033207949692157","","01-direct | 02-critical-path | 04-trace-causality | 13-causal-profiling | 23-host-telemetry | 26-temporal-fi | 36-causal-profiler","firecrawl research search-papers","foundational","B3","false","false","false","false","b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q01-direct.json | b3/raw-q02-critical-path.json | b3/raw-q04-trace-causality.json | b3/raw-q13-causal-profiling.json | b3/raw-q23-host-telemetry.json | b3/raw-q26-temporal-fi.json | b3/raw-q36-causal-profiler.json | b3/read-evidence-manifest.jsonl | b3/registry.json | b8/canonical-registry.json | b8/raw/foundational-02.json","b3/triage.jsonl"
"48","4","arxiv:1607.03830","Distributed Clock Skew and Offset Estimation in Wireless Sensor Networks: Asynchronous Algorithm and Convergence Analysis","HIGH","B1","Distributed Clock Skew and Offset Estimation in Wireless Sensor Networks: Asynchronous Algorithm and Convergence Analysis","arxiv:1607.03830","In this paper, we propose a fully distributed algorithm for joint clock skew and offset estimation in wireless sensor networks based on belief propagation. In the proposed algorithm, each node can estimate its clock skew and offset in a completely distributed and asynchronous way: some nodes may update their estimates more frequently than others using outdated message from neighboring nodes. In addition, the proposed algorithm is robust to random packet loss. Such algorithm does not require any centralized information processing or coordination, and is scalable with network size. The proposed algorithm represents a unified framework that encompasses both classes of synchronous and asynchronous algorithms for network-wide clock synchronization. It is shown analytically that the proposed asynchronous algorithm converges to the optimal estimates with estimation mean-square-error at each node approaching the centralized Cram'er-Rao bound under any network topology. Simulation results further show that the convergence speed is faster than that corresponding to a synchronous algorithm.","high","B1","1","B1=high","B1=Asynchronous belief propagation jointly estimates skew and offset and remains robust to outdated messages and packet loss.","","B1=true","primary_assignment","Jian Du, Yik-Chung Wu","2016","arxiv:1607.03830","arxiv:1607.03830","6928651615838243877","","","","","B1","true","false","false","false","b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/expansion/expansion-manifest.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q01-direct.json | b1/raw-q02-synonyms.json","b1/assigned-paper-manifest.jsonl | b1/triage.jsonl"
