pass2_index,paper_id,assigned_agent,first_pass_classification,source_lane
0,7081661685753858384,1,MEDIUM,B1
1,arxiv:0809.2350,2,MEDIUM,B5
2,7952815850758365402,3,HIGH,B7
3,5195814777527052020,4,MEDIUM,B5
4,8811220115148131552,5,HIGH,B3 | B8
5,5889143153570527669,1,MEDIUM,B5
6,3404356302515280676,2,MEDIUM,B1
7,6229494216697741569,3,MEDIUM,B8
8,arxiv:1007.0522,4,HIGH,B5
9,210242896464746379,5,MEDIUM,B8
10,arxiv:1108.4063,1,MEDIUM,B4
11,8674407848986055084,2,MEDIUM,B2
12,arxiv:1202.0784,3,HIGH,B5
13,4609996249881166460,4,HIGH,B5
14,arxiv:1205.6018,5,HIGH,B5
15,arxiv:1211.0779,1,MEDIUM,B4
16,369303191991734137,2,MEDIUM,B1
17,423601617454160846,3,MEDIUM,B8
18,arxiv:1303.4370,4,HIGH,B5
19,arxiv:1304.3258,5,MEDIUM,B4
20,3041489355651078803,1,HIGH,B1 | B7
21,arxiv:1402.6693,2,HIGH,B5
22,3144655542714532885,3,MEDIUM,B5
23,235385722979642739,4,HIGH,B1
24,7136509995518105801,5,MEDIUM,B6
25,7528341802882909655,1,HIGH,B1
26,arxiv:1412.4390,2,MEDIUM,B4
27,2999704205168867340,3,HIGH,B1
28,3977638580768900047,4,HIGH,B5
29,1033903892428678452,5,MEDIUM,B5
30,arxiv:1506.01154,1,HIGH,B5
31,8774084526251050579,2,MEDIUM,B1
32,3641397661182161312,3,MEDIUM,B5
33,1629803851362820494,4,MEDIUM,B8
34,2425441966270698489,5,HIGH,B6
35,arxiv:1510.02670,1,HIGH,B5
36,arxiv:1510.04488,2,MEDIUM,B4
37,5541644419030296322,3,HIGH,B8
38,arxiv:1511.02960,4,MEDIUM,B4
39,arxiv:1511.04792,5,HIGH,B5
40,1897827095749343130,1,MEDIUM,B6
41,arxiv:1512.05023,2,HIGH,B4
42,7865894743450843231,3,HIGH,B5
43,2542033207949692157,4,HIGH,B3
44,1978358969918575528,5,MEDIUM,B2
45,1112942928785308590,1,MEDIUM,B8
46,2227616049552302296,2,HIGH,B1 | B2
47,3832496178776136625,3,HIGH,B4
48,6928651615838243877,4,HIGH,B1
49,1514343919925841873,5,MEDIUM,B3
50,8651083539529506116,1,HIGH,B3
51,3920502752604339773,2,MEDIUM,B6
52,4878981811411546663,3,MEDIUM,B1
53,arxiv:1610.04688,4,HIGH,B4
54,6763313630540936229,5,HIGH,B2
55,7448285211095447456,1,MEDIUM,B6
56,7762479377780788579,2,HIGH,B1
57,7129282239998762592,3,HIGH,B1 | B2
58,3135282214061629495,4,MEDIUM,B5
59,6776156078023101235,5,MEDIUM,B5
60,2745330246428296331,1,HIGH,B5
61,5753185853969271521,2,HIGH,B2 | B7
62,1325676828699652540,3,MEDIUM,B8
63,715293980298572075,4,MEDIUM,B1
64,6512508631710046631,5,HIGH,B1
65,7603077864497783418,1,HIGH,B5
66,6954071334906478470,2,MEDIUM,B5
67,arxiv:1708.06926,3,MEDIUM,B4
68,arxiv:1708.07353,4,HIGH,B5
69,2095207370122437026,5,MEDIUM,B3
70,arxiv:1710.00649,1,HIGH,B5
71,3035311076376865872,2,MEDIUM,B6
72,arxiv:1711.00745,3,MEDIUM,B4
73,5636012726576954326,4,MEDIUM,B8
74,8987947694429271958,5,MEDIUM,B5
75,7930270148500945031,1,MEDIUM,B3
76,5661658623002396161,2,MEDIUM,B6
77,1627560714433971625,3,MEDIUM,B1 | B2
78,1708975227833822663,4,MEDIUM,B5
79,arxiv:1801.04241,5,HIGH,B5
80,arxiv:1801.05919,1,MEDIUM,B5
81,8851315760597021144,2,MEDIUM,B7
82,arxiv:1801.10141,3,MEDIUM,B5
83,2095279367644718710,4,MEDIUM,B2
84,arxiv:1803.09615,5,HIGH,B4
85,1142761275872084005,1,MEDIUM,B8
86,arxiv:1804.04921,2,MEDIUM,B4
87,6930351956147785058,3,HIGH,B7 | B8
88,6930347558101272214,4,HIGH,B7
89,arxiv:1805.04449,5,MEDIUM,B4
90,6405431012796306810,1,MEDIUM,B8
91,3138394900211093158,2,HIGH,B6
92,8754694585775826913,3,HIGH,B1
93,3208497133621461321,4,HIGH,B1
94,2053787860891002704,5,HIGH,B2
95,arxiv:1806.05776,1,HIGH,B5
96,arxiv:1806.08159,2,HIGH,B4
97,arxiv:1807.00078,3,MEDIUM,B4
98,arxiv:1807.02184,4,MEDIUM,B4
99,5773272062555567376,5,HIGH,B2
100,4910249223683040799,1,HIGH,B1 | B7
101,1951581963544411627,2,HIGH,B5
102,1580463726682111132,3,HIGH,B2
103,4982830360337290232,4,MEDIUM,B8
104,423916932341377386,5,HIGH,B4 | B7 | B8
105,9206161426810957006,1,HIGH,B1 | B2 | B7 | B8
106,7644723332435259876,2,MEDIUM,B8
107,3871984476710892555,3,HIGH,B8
108,5554010371199989563,4,HIGH,B2 | B7 | B8
109,8489563012440895639,5,HIGH,B5
110,6630942140689213913,1,MEDIUM,B8
111,8851124539091948997,2,MEDIUM,B6
