paper_id,assigned_agent
3871984476710892555,1
1045061837287933572,2
4275919601340604786,3
960066316139090677,4
8705531516229927827,5
1285158271858717206,1
5396548060118504054,2
4449360832765317079,3
7283097417584407771,4
4069800463177077041,5
2115619635815627513,1
arxiv:2010.12114,2
238041654804639260,3
1358290719801915792,4
7865034857012623966,5
3128522236556480702,1
8535061699263342057,2
3390814624128138026,3
8172766496941386577,4
2154163088485871028,5
868918714334910253,1
arxiv:2201.03175,2
6800574349478778784,3
5369529027105611784,4
1097939111142689472,5
7005852229130754728,1
5041264122573570510,2
492218436397604387,3
1947083336753205595,4
5139490866812098918,5
7620808219149409718,1
8102028585888632896,2
8561854163316271941,3
4070517230443,4
509034711155382676,5
5792322162514556537,1
8332588441171868595,2
8838587758740285651,3
arxiv:2310.19699,4
1480341599344925445,5
5934440152243555294,1
247034073928789937,2
247037372463674570,3
arxiv:2312.10356,4
arxiv:2312.15123,5
4186155202172654199,1
arxiv:2401.12815,2
7323364571112915051,3
2358317468375885502,4
2829399507821631178,5
4359142198374054776,1
8687987873447385173,2
8499290748226340479,3
5053930566941177736,4
arxiv:2404.18208,5
591397950646880097,1
2323014594144352108,2
7861821626367814759,3
6467458399946184133,4
8383129057629492266,5
8080217501498385215,1
2485365029832433847,2
5852004840422352788,3
974477220233621515,4
4905831661341578901,5
1933595173721957862,1
arxiv:2410.06112,2
6025675210517228757,3
171086596173163810,4
4387281134661619038,5
8757164680856772979,1
5203195530365023883,2
4666080801596472025,3
4286980218876081310,4
6234118449609484987,5
4374045694681754426,1
arxiv:2412.18812,2
7303169716972351648,3
4432455909415076699,4
1174663628263380259,5
887560099756378655,1
8857891919524725306,2
571917457937769436,3
6344596372006590867,4
arxiv:2503.19555,5
7454753117799628918,1
8567768919336299705,2
arxiv:2505.06780,3
2104314270233489886,4
2056223403963298418,5
arxiv:2506.01135,1
2086215060043610282,2
2761769335822054080,3
2129969028896478575,4
941610227651593359,5
1866153357125297436,1
2185766229983237362,2
4034478371517734286,3
3857845561562084394,4
6822928053718226751,5
4381339023769131000,1
arxiv:2508.06133,2
6542197425248761429,3
5247552991241509146,4
5239793737682737919,5
2222259298937831723,1
1574134577672162772,2
1798807342958589966,3
arxiv:2509.19486,4
4633238585881888356,5
7920375970050081785,1
3299371768691771971,2
arxiv:2510.18544,3
6962210528323261289,4
182396430684305034,5
arxiv:2510.24113,1
arxiv:2511.00983,2
7643556002664870553,3
8105309266257635510,4
5589487035438989993,5
8438926716725811608,1
5451060507501470584,2
5044124516141222318,3
745826798858530049,4
2167850864120920301,5
4830637205373174951,1
4640478975552611682,2
1466154793898355406,3
597090830503133492,4
8083047399534387825,5
5868006927117943253,1
3592518174263179693,2
4527108478467824083,3
arxiv:2602.08296,4
4120649929626054173,5
4957292609861434555,1
5519133081468995501,2
arxiv:2602.13718,3
5091945656701445251,4
2139775655631860928,5
531072298999178666,1
arxiv:2603.02271,2
4751678703388351030,3
8279130694770794154,4
arxiv:2603.07309,5
4573602806349677991,1
4572602250768195206,2
4601031261350824627,3
5677962604628405295,4
arxiv:2603.19418,5
379900031815044385,1
6475716740606225073,2
8651464511882425804,3
5055346589362718594,4
6389491837593690377,5
8901474612632347847,1
2811257509632522362,2
9105525100349782805,3
2680650857130468271,4
1994509383886062229,5
1393208390158834869,1
3995115690925861995,2
7114917262988826943,3
356744853930880706,4
2575451725150813508,5
7681488105640991156,1
777874252596041836,2
3448472613018289371,3
3360826179826483892,4
363781364255773176,5
7091415937357842299,1
7595282496078262048,2
2769760053031621516,3
902319779427745989,4
arxiv:2604.26422,5
5838555704271719854,1
arxiv:2605.00616,2
arxiv:2605.05527,3
arxiv:2605.08835,4
8493473766441459476,5
3323541428784451505,1
arxiv:2605.13749,2
3495506402720422711,3
6470528680448553143,4
3352411087723790442,5
6761145958718903742,1
arxiv:2605.24044,2
4725514452963240801,3
6910876136037705726,4
arxiv:2606.00552,5
arxiv:2606.02982,1
6533537354173585470,2
6902957727205386091,3
576362709461875616,4
8507411659808898103,5
4154440699841849599,1
8458659287241322753,2
8905845576224506217,3
1015644620298296471,4
809444332749169443,5
6229544255917851645,1
1951086164379907490,2
5035409720091109396,3
5029640582579021629,4
5155986235230944249,5
8906816116959573404,1
3184073458339981590,2
9110691625195224939,3
arxiv:2607.02043,4
6931121951500119672,5
7582065820579953952,1
269128158884843164,2
3139187794791879128,3
6260114167250314704,4
6247590729807451339,5
5659676290151043754,1
7726924502488115606,2
7729752446395306623,3
3956974113548681661,4
arxiv:2607.12614,5
5785556508778427907,1
8069653338168752361,2
5599684028929689597,3
4685038903586101577,4
4678418744073967721,5
875155208603979263,1
9171327884192685453,2
1761072512008267565,3
6685155072091894007,4
1571300075361954208,5
4719832985776024047,1
2615386525706781434,2
4937151525167702617,3
7072140537051199413,4
arxiv:2607.22242,5
8067658222323430056,1
3015391333628338371,2
5688624134858144257,3
2937543854568710884,4
arxiv:2607.28223,5
1712554309870911946,1
4288321889768320313,2
498377849106763229,3
4353526302494529976,4
arxiv:2608.08338,5
5453530192104496224,1
arxiv:2608.09556,2
5931539535869386961,3
5502882124631100505,4
2557612658538843843,5
2597599735354956596,1
3118903724793416344,2
5336608897723105490,3
8916858412621485278,4
6718955699918105612,5
5098808467339726848,1
1175326315228215280,2
1876527375800181618,3
8176620910093036846,4
80979387164826242,5
2105969947860896935,1
1898251274921937493,2
4909246700627321249,3
3847908702569125395,4
2552709141967518849,5
6069302969337636244,1
4634417666065054634,2
4452630211623390692,3
1755351680171509675,4
3829193067904402061,5
1668043443522056253,1
148054313537924416,2
7163472997400082829,3
2367833977732839801,4
1372600695109349797,5
2931634087590650564,1
3860974450908273774,2
7119746593355855053,3
5075266179926110431,4
5976916227115129888,5
5524303104538057129,1
8281079617290861983,2
5953628598697212834,3
2019497443263280237,4
429486151095015039,5
2211468744924936252,1
811021839911309015,2
9022175127994743410,3
992964764350579275,4
8566449090903860956,5
2772322195988889789,1
4918028213022572326,2
502780628454977798,3
417731485108381566,4
218875704244974896,5
7520461208810272751,1
6400808627387146558,2
8529463343270812381,3
6188873004102168102,4
1302379362498927557,5
5366608874104944380,1
471147898423564130,2
3391115723392121549,3
8561887109684953007,4
1381015205915211242,5
3140650812728044647,1
708190934439977881,2
