pass2_index,paper_id,status,mechanism_count,processed_at,error_or_review_reason
6,arxiv:1106.0681,RESERVE,1,2026-08-30T23:33:35.701606+00:00,Body-level method detail remains unresolved; retained for recall.
19,arxiv:1301.2603,RESERVE,1,2026-08-30T23:33:35.701606+00:00,Body-level method detail remains unresolved; retained for recall.
32,arxiv:1406.2541,KEEP,1,2026-08-30T23:33:35.701606+00:00,Body-level method detail remains unresolved; retained for recall.
45,arxiv:1503.02406,RESERVE,1,2026-08-30T23:33:35.701606+00:00,Body-level method detail remains unresolved; retained for recall.
58,arxiv:1509.01626,DROP,0,2026-08-30T23:33:35.702509+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
71,arxiv:1512.03385,DROP,0,2026-08-30T23:33:35.702509+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
84,arxiv:1603.00964,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
97,arxiv:1605.09674,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
110,arxiv:1609.08201,RESERVE,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
123,arxiv:1611.07476,DROP,0,2026-08-30T23:33:35.702509+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
136,arxiv:1703.00956,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
149,arxiv:1703.07015,RESERVE,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
162,arxiv:1705.05363,RESERVE,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
175,arxiv:1707.01495,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
188,arxiv:1709.04905,RESERVE,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
201,arxiv:1711.00073,RESERVE,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
214,arxiv:1802.03676,RESERVE,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
227,arxiv:1805.04687,DROP,0,2026-08-30T23:33:35.702509+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
240,arxiv:1806.10293,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
253,arxiv:1810.01257,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
266,arxiv:1811.04869,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
279,arxiv:1901.10113,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
292,arxiv:1904.01201,DROP,0,2026-08-30T23:33:35.702509+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
305,arxiv:1905.12310,DROP,0,2026-08-30T23:33:35.702509+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
318,arxiv:1906.09460,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
331,arxiv:1908.06552,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
344,arxiv:1910.07972,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
357,arxiv:2001.00271,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
370,arxiv:2003.08515,RESERVE,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
383,arxiv:2005.13857,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
396,arxiv:2008.09167,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
409,arxiv:2010.07217,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
422,arxiv:2010.15920,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
435,arxiv:2101.06184,KEEP,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
448,arxiv:2103.05905,DROP,0,2026-08-30T23:33:35.702509+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
461,arxiv:2104.04610,RESERVE,1,2026-08-30T23:33:35.702509+00:00,Body-level method detail remains unresolved; retained for recall.
474,arxiv:2106.12142,DROP,0,2026-08-30T23:33:35.705713+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
487,arxiv:2107.14483,DROP,0,2026-08-30T23:33:35.705713+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
500,arxiv:2109.07785,DROP,0,2026-08-30T23:33:35.705713+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
513,arxiv:2110.03655,RESERVE,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
526,arxiv:2110.14754,KEEP,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
539,arxiv:2112.09685,RESERVE,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
552,arxiv:2202.02005,KEEP,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
565,arxiv:2203.16800,DROP,0,2026-08-30T23:33:35.705713+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
578,arxiv:2205.06175,RESERVE,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
591,arxiv:2206.11251,KEEP,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
604,arxiv:2209.07753,DROP,0,2026-08-30T23:33:35.705713+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
617,arxiv:2210.02747,DROP,0,2026-08-30T23:33:35.705713+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
630,arxiv:2210.11435,KEEP,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
643,arxiv:2211.12491,RESERVE,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
656,arxiv:2212.14164,DROP,0,2026-08-30T23:33:35.705713+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
669,arxiv:2301.12832,DROP,0,2026-08-30T23:33:35.705713+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
682,arxiv:2302.06271,KEEP,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
695,arxiv:2303.07317,KEEP,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
708,arxiv:2304.03535,DROP,0,2026-08-30T23:33:35.705713+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
721,arxiv:2305.01400,KEEP,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
734,arxiv:2305.18499,KEEP,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
747,arxiv:2306.16406,RESERVE,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
760,arxiv:2307.14430,KEEP,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
773,arxiv:2309.02473,DROP,0,2026-08-30T23:33:35.705713+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
786,arxiv:2310.08782,RESERVE,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
799,arxiv:2310.17596,KEEP,1,2026-08-30T23:33:35.705713+00:00,Body-level method detail remains unresolved; retained for recall.
812,arxiv:2311.12015,RESERVE,1,2026-08-30T23:33:35.708665+00:00,Body-level method detail remains unresolved; retained for recall.
825,arxiv:2401.01065,RESERVE,1,2026-08-30T23:33:35.708665+00:00,Body-level method detail remains unresolved; retained for recall.
838,arxiv:2402.02097,KEEP,1,2026-08-30T23:33:35.708665+00:00,Body-level method detail remains unresolved; retained for recall.
851,arxiv:2402.10329,KEEP,1,2026-08-30T23:33:35.708665+00:00,Body-level method detail remains unresolved; retained for recall.
864,arxiv:2402.19432,KEEP,1,2026-08-30T23:33:35.708665+00:00,Body-level method detail remains unresolved; retained for recall.
877,arxiv:2403.15203,KEEP,1,2026-08-30T23:33:35.708665+00:00,Body-level method detail remains unresolved; retained for recall.
890,arxiv:2404.07428,DROP,0,2026-08-30T23:33:35.709674+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
903,arxiv:2405.03875,KEEP,1,2026-08-30T23:33:35.709674+00:00,Body-level method detail remains unresolved; retained for recall.
916,arxiv:2405.15624,RESERVE,1,2026-08-30T23:33:35.709674+00:00,Body-level method detail remains unresolved; retained for recall.
929,arxiv:2406.07342,KEEP,1,2026-08-30T23:33:35.709674+00:00,Body-level method detail remains unresolved; retained for recall.
942,arxiv:2406.20095,KEEP,1,2026-08-30T23:33:35.709674+00:00,Body-level method detail remains unresolved; retained for recall.
955,arxiv:2407.15403,KEEP,1,2026-08-30T23:33:35.709674+00:00,Body-level method detail remains unresolved; retained for recall.
968,arxiv:2408.06481,DROP,0,2026-08-30T23:33:35.709674+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
981,arxiv:2409.04607,KEEP,1,2026-08-30T23:33:35.710769+00:00,Body-level method detail remains unresolved; retained for recall.
994,arxiv:2409.19770,KEEP,1,2026-08-30T23:33:35.710769+00:00,Body-level method detail remains unresolved; retained for recall.
1007,arxiv:2410.11262,KEEP,1,2026-08-30T23:33:35.710769+00:00,Body-level method detail remains unresolved; retained for recall.
1020,arxiv:2410.18964,KEEP,1,2026-08-30T23:33:35.710769+00:00,Body-level method detail remains unresolved; retained for recall.
1033,arxiv:2411.03409,KEEP,1,2026-08-30T23:33:35.710769+00:00,Body-level method detail remains unresolved; retained for recall.
1046,arxiv:2412.02331,KEEP,1,2026-08-30T23:33:35.710769+00:00,Body-level method detail remains unresolved; retained for recall.
1059,arxiv:2412.14401,DROP,0,2026-08-30T23:33:35.710769+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
1072,arxiv:2501.11039,RESERVE,1,2026-08-30T23:33:35.710769+00:00,Body-level method detail remains unresolved; retained for recall.
1085,arxiv:2502.02853,DROP,0,2026-08-30T23:33:35.710769+00:00,"Title and abstract screening found no concrete mechanism that acts on robot-learning trajectories, data, or training intelligence."
1098,arxiv:2502.13519,KEEP,1,2026-08-30T23:33:35.711800+00:00,Body-level method detail remains unresolved; retained for recall.
