pass2_index,paper_id,terminal_outcome,mechanism_count
10,arxiv:1201.6583,RESERVE,1
23,arxiv:1306.4265,DROP,0
36,arxiv:1408.3060,DROP,0
49,arxiv:1504.00702,DROP,0
62,arxiv:1510.09142,DROP,0
75,arxiv:1602.01407,DROP,0
88,arxiv:1603.08561,RESERVE,1
101,arxiv:1606.03558,DROP,0
114,arxiv:1610.00850,DROP,0
127,arxiv:1612.06699,KEEP,1
"140","arxiv:1703.01310","DROP","0"
"153","arxiv:1703.09327","DROP","0"
"166","arxiv:1705.10941","DROP","0"
"179","arxiv:1707.02920","DROP","0"
"192","arxiv:1709.10087","DROP","0"
"205","arxiv:1711.09156","DROP","0"
"218","arxiv:1802.06604","DROP","0"
"231","arxiv:1805.09843","DROP","0"
"244","arxiv:1807.10299","DROP","0"
"257","arxiv:1810.06045","DROP","0"
"270","arxiv:1811.11359","DROP","0"
"283","arxiv:1902.09641","DROP","0"
"296","arxiv:1904.04689","DROP","0"
"309","arxiv:1906.01728","DROP","0"
"322","arxiv:1907.03146","DROP","0"
"335","arxiv:1909.06933","DROP","0"
"348","arxiv:1911.00997","DROP","0"
"361","arxiv:2002.06038","DROP","0"
"374","arxiv:2004.07219","DROP","0"
"387","arxiv:2006.08506","DROP","0"
"400","arxiv:2009.13436","DROP","0"
"413","arxiv:2010.08354","DROP","0"
"426","arxiv:2011.05970","DROP","0"
"439","arxiv:2102.00431","DROP","0"
"452","arxiv:2103.09458","DROP","0"
"465","arxiv:2105.14829","DROP","0"
"478","arxiv:2107.02625","DROP","0"
"491","arxiv:2108.03298","DROP","0"
"504","arxiv:2109.10312","DROP","0"
"517","arxiv:2110.05697","DROP","0"
"530","arxiv:2110.15360","DROP","0"
"543","arxiv:2201.10766","DROP","0"
"556","arxiv:2202.05894","DROP","0"
"569","arxiv:2204.02968","DROP","0"
"582","arxiv:2205.09991","DROP","0"
"595","arxiv:2207.03395","DROP","0"
"608","arxiv:2209.13605","DROP","0"
"621","arxiv:2210.06407","DROP","0"
"634","arxiv:2211.00600","DROP","0"
"647","arxiv:2212.04280","DROP","0"
"660","arxiv:2301.08556","DROP","0"
"673","arxiv:2302.00935","DROP","0"
"686","arxiv:2302.11550","DROP","0"
"699","arxiv:2303.13193","DROP","0"
"712","arxiv:2304.08742","DROP","0"
"725","arxiv:2305.06114","DROP","0"
"738","arxiv:2306.05412","DROP","0"
"751","arxiv:2307.03659","DROP","0"
"764","arxiv:2308.03063","DROP","0"
"777","arxiv:2309.12300","DROP","0"
"790","arxiv:2310.12955","DROP","0"
"803","arxiv:2311.01455","DROP","0"
"816","arxiv:2312.01853","DROP","0"
"829","arxiv:2401.09031","DROP","0"
"842","arxiv:2402.03807","DROP","0"
"855","arxiv:2402.12706","DROP","0"
"868","arxiv:2403.03950","DROP","0"
"881","arxiv:2403.19976","DROP","0"
"894","arxiv:2404.14903","DROP","0"
"907","arxiv:2405.10315","DROP","0"
"920","arxiv:2405.18948","DROP","0"
"933","arxiv:2406.11011","DROP","0"
"946","arxiv:2407.06459","DROP","0"
"959","arxiv:2407.18249","DROP","0"
"972","arxiv:2408.11812","DROP","0"
"985","arxiv:2409.08958","DROP","0"
"998","arxiv:2410.00371","DROP","0"
"1011","arxiv:2410.13979","DROP","0"
"1024","arxiv:2410.24091","DROP","0"
"1037","arxiv:2411.12310","DROP","0"
"1050","arxiv:2412.04835","DROP","0"
"1063","arxiv:2412.20368","DROP","0"
"1076","arxiv:2501.15830","DROP","0"
"1089","arxiv:2502.05397","DROP","0"
"1102","arxiv:2502.18015","DROP","0"
"1115","arxiv:2503.03081","DROP","0"
"1128","arxiv:2503.12222","DROP","0"
"1141","arxiv:2503.19757","DROP","0"
"1154","arxiv:2504.08588","DROP","0"
"1167","arxiv:2504.20656","DROP","0"
"1180","arxiv:2505.07455","DROP","0"
"1193","arxiv:2505.10919","DROP","0"
"1206","arxiv:2505.18719","DROP","0"
"1219","arxiv:2506.01635","DROP","0"
"1232","arxiv:2506.07822","DROP","0"
"1245","arxiv:2506.13697","DROP","0"
"1258","arxiv:2506.19121","DROP","0"
